ID,LV,EXP,HP,MP,ATK,DEF,MATK,MGR,LUC,AGL,InitSkillList(ID/ID・・・)
P1_0,1,0,36,14,16,11,7,9,7,10,10/9/8/7/6/5/4/3/2/1/0
P1_1,2,10,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2/1
P1_2,3,21,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2
P1_3,4,33,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3
P1_4,5,46,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4
P1_5,6,60,0,0,0,0,0,0,0,0,10/9/8/7/6/5
P1_6,7,76,0,0,0,0,0,0,0,0,10/9/8/7/6
P1_7,8,93,0,0,0,0,0,0,0,0,10/9/8/7
P1_8,9,112,0,0,0,0,0,0,0,0,10/9/8
P1_9,10,133,0,0,0,0,0,0,0,0,10/9
P1_10,11,156,0,0,0,0,0,0,0,0,10
P1_11,12,181,0,0,0,0,0,0,0,0,10
P1_12,13,209,0,0,0,0,0,0,0,0,10
P1_13,14,240,0,0,0,0,0,0,0,0,10
P1_14,15,274,0,0,0,0,0,0,0,0,10
P1_15,16,311,0,0,0,0,0,0,0,0,10
P1_16,17,352,0,0,0,0,0,0,0,0,10
P1_17,18,397,0,0,0,0,0,0,0,0,10
P1_18,19,447,0,0,0,0,0,0,0,0,10
P1_19,20,502,0,0,0,0,0,0,0,0,10
P1_20,21,563,0,0,0,0,0,0,0,0,10
P1_21,22,630,0,0,0,0,0,0,0,0,10
P1_22,23,704,0,0,0,0,0,0,0,0,10
P1_23,24,785,0,0,0,0,0,0,0,0,10
P1_24,25,874,0,0,0,0,0,0,0,0,10
P1_25,26,972,0,0,0,0,0,0,0,0,10
P1_26,27,1080,0,0,0,0,0,0,0,0,10
P1_27,28,1199,0,0,0,0,0,0,0,0,10
P1_28,29,1330,0,0,0,0,0,0,0,0,10
P1_29,30,1474,0,0,0,0,0,0,0,0,10
P1_30,31,1632,0,0,0,0,0,0,0,0,10
P1_31,32,1806,0,0,0,0,0,0,0,0,10
P1_32,33,1997,0,0,0,0,0,0,0,0,10
P1_33,34,2208,0,0,0,0,0,0,0,0,10
P1_34,35,2440,0,0,0,0,0,0,0,0,10
P1_35,36,2695,0,0,0,0,0,0,0,0,10
P1_36,37,2976,0,0,0,0,0,0,0,0,10
P1_37,38,3285,0,0,0,0,0,0,0,0,10
P1_38,39,3625,0,0,0,0,0,0,0,0,10
P1_39,40,3999,0,0,0,0,0,0,0,0,10
