ID,LV,EXP,HP,MP,ATK,DEF,MATK,MGR,LUC,AGL,InitSkillList(ID/ID・・・)
P6_0,1,0,20,30,5,8,18,11,7,11,10/9/8/7/6/5/4/3/2/1/0
P6_1,2,10,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2/1
P6_2,3,21,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2
P6_3,4,33,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3
P6_4,5,46,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4
P6_5,6,60,0,0,0,0,0,0,0,0,10/9/8/7/6/5
P6_6,7,76,0,0,0,0,0,0,0,0,10/9/8/7/6
P6_7,8,93,0,0,0,0,0,0,0,0,10/9/8/7
P6_8,9,112,0,0,0,0,0,0,0,0,10/9/8
P6_9,10,133,0,0,0,0,0,0,0,0,10/9
P6_10,11,156,0,0,0,0,0,0,0,0,10
P6_11,12,181,0,0,0,0,0,0,0,0,10
P6_12,13,209,0,0,0,0,0,0,0,0,10
P6_13,14,240,0,0,0,0,0,0,0,0,10
P6_14,15,274,0,0,0,0,0,0,0,0,10
P6_15,16,311,0,0,0,0,0,0,0,0,10
P6_16,17,352,0,0,0,0,0,0,0,0,10
P6_17,18,397,0,0,0,0,0,0,0,0,10
P6_18,19,447,0,0,0,0,0,0,0,0,10
P6_19,20,502,0,0,0,0,0,0,0,0,10
P6_20,21,563,0,0,0,0,0,0,0,0,10
P6_21,22,630,0,0,0,0,0,0,0,0,10
P6_22,23,704,0,0,0,0,0,0,0,0,10
P6_23,24,785,0,0,0,0,0,0,0,0,10
P6_24,25,874,0,0,0,0,0,0,0,0,10
P6_25,26,972,0,0,0,0,0,0,0,0,10
P6_26,27,1080,0,0,0,0,0,0,0,0,10
P6_27,28,1199,0,0,0,0,0,0,0,0,10
P6_28,29,1330,0,0,0,0,0,0,0,0,10
P6_29,30,1474,0,0,0,0,0,0,0,0,10
P6_30,31,1632,0,0,0,0,0,0,0,0,10
P6_31,32,1806,0,0,0,0,0,0,0,0,10
P6_32,33,1997,0,0,0,0,0,0,0,0,10
P6_33,34,2208,0,0,0,0,0,0,0,0,10
P6_34,35,2440,0,0,0,0,0,0,0,0,10
P6_35,36,2695,0,0,0,0,0,0,0,0,10
P6_36,37,2976,0,0,0,0,0,0,0,0,10
P6_37,38,3285,0,0,0,0,0,0,0,0,10
P6_38,39,3625,0,0,0,0,0,0,0,0,10
P6_39,40,3999,0,0,0,0,0,0,0,0,10
