ID,LV,EXP,HP,MP,ATK,DEF,MATK,MGR,LUC,AGL,InitSkillList(ID/ID・・・)
P3_0,1,0,33,17,9,8,6,8,17,12,55/67/69/71
P3_1,2,10,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2/1
P3_2,3,21,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3/2
P3_3,4,33,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4/3
P3_4,5,46,0,0,0,0,0,0,0,0,10/9/8/7/6/5/4
P3_5,6,60,0,0,0,0,0,0,0,0,10/9/8/7/6/5
P3_6,7,76,0,0,0,0,0,0,0,0,10/9/8/7/6
P3_7,8,93,0,0,0,0,0,0,0,0,10/9/8/7
P3_8,9,112,0,0,0,0,0,0,0,0,10/9/8
P3_9,10,133,0,0,0,0,0,0,0,0,10/9
P3_10,11,156,0,0,0,0,0,0,0,0,10
P3_11,12,181,0,0,0,0,0,0,0,0,10
P3_12,13,209,0,0,0,0,0,0,0,0,10
P3_13,14,240,0,0,0,0,0,0,0,0,10
P3_14,15,274,0,0,0,0,0,0,0,0,10
P3_15,16,311,0,0,0,0,0,0,0,0,10
P3_16,17,352,0,0,0,0,0,0,0,0,10
P3_17,18,397,0,0,0,0,0,0,0,0,10
P3_18,19,447,0,0,0,0,0,0,0,0,10
P3_19,20,502,0,0,0,0,0,0,0,0,10
P3_20,21,563,0,0,0,0,0,0,0,0,10
P3_21,22,630,0,0,0,0,0,0,0,0,10
P3_22,23,704,0,0,0,0,0,0,0,0,10
P3_23,24,785,0,0,0,0,0,0,0,0,10
P3_24,25,874,0,0,0,0,0,0,0,0,10
P3_25,26,972,0,0,0,0,0,0,0,0,10
P3_26,27,1080,0,0,0,0,0,0,0,0,10
P3_27,28,1199,0,0,0,0,0,0,0,0,10
P3_28,29,1330,0,0,0,0,0,0,0,0,10
P3_29,30,1474,0,0,0,0,0,0,0,0,10
P3_30,31,1632,0,0,0,0,0,0,0,0,10
P3_31,32,1806,0,0,0,0,0,0,0,0,10
P3_32,33,1997,0,0,0,0,0,0,0,0,10
P3_33,34,2208,0,0,0,0,0,0,0,0,10
P3_34,35,2440,0,0,0,0,0,0,0,0,10
P3_35,36,2695,0,0,0,0,0,0,0,0,10
P3_36,37,2976,0,0,0,0,0,0,0,0,10
P3_37,38,3285,0,0,0,0,0,0,0,0,10
P3_38,39,3625,0,0,0,0,0,0,0,0,10
P3_39,40,3999,0,0,0,0,0,0,0,0,10
